u,beat,camax
4.0,1,2.0761528245082848
4.0,2,2.0049775162279846
4.0,3,2.047418179040868
4.0,4,2.053869034610129
4.0,5,2.0473618860483076
4.0,6,2.027088502794536
4.0,7,2.027622852466274
4.0,8,2.03946939330526
4.0,9,2.0284019414797316
4.0,10,2.0587331385977987
4.0,11,2.0387151039540203
4.0,12,2.025167534188061
4.0,13,2.0336216726172567
4.0,14,2.0450922020245534
4.0,15,2.063965504783373
4.0,16,2.035470617598783
4.0,17,2.0471514544842506
4.0,18,2.0287944930983466
4.0,19,2.0408919336080733
4.0,20,2.0375124350065255
4.0,21,2.0518602871079534
4.0,22,2.054162347896032
4.0,23,2.03937037591776
4.0,24,2.046032674170025
4.0,25,2.065995787177578
4.0,26,2.0316064734296835
4.0,27,2.0565025056783828
4.0,28,2.0500833971126275
4.0,29,2.0581619827078868
4.0,30,2.0246841371541575
4.0,31,2.0329587972623715
4.0,32,2.054000451618264
4.0,33,2.0604972584340375
4.0,34,2.052016312069029
4.0,35,2.0420398849318158
4.0,36,2.020505641232859
4.0,37,2.055389625271031
4.0,38,2.0281531319211084
4.0,39,2.053528862367827
4.0,40,2.0583156351166396
4.0,41,1.9909267127690193
4.0,42,2.060272362223374
4.0,43,2.040388327256901
4.0,44,2.033337389056859
4.0,45,2.05261719649106
4.0,46,2.0446843362768616
4.0,47,2.0282113867671923
4.0,48,2.0133213732187296
4.0,49,2.0442374835321617
4.0,50,2.046993950717653
4.0,51,2.025172291837062
4.0,52,2.0719650086364636
4.0,53,2.0179512758627043
4.0,54,2.035189174703726
4.0,55,2.050273605438425
4.0,56,2.0351910609348334
4.0,57,2.0696270628834395
4.0,58,2.028808452847392
4.0,59,2.057874712281693
4.0,60,2.0811544008516303
4.0,61,2.0308002988565743
4.0,62,2.027179540782096
4.0,63,2.0516524393699207
4.0,64,2.0394703888158165
4.0,65,2.085336437512423
4.0,66,2.0297052240122886
4.0,67,2.060169741214771
4.0,68,2.0411183986531127
4.0,69,2.0420720780941766
4.0,70,2.0587975804091014
4.0,71,2.0632147447175857
4.0,72,2.0462069384942754
4.0,73,2.054062156405545
4.0,74,2.0577162777690865
4.0,75,2.0079039257572386
4.0,76,2.03527756681707
4.0,77,2.0606550779234536
4.0,78,2.048317740790225
4.0,79,2.0453918063990075
4.0,80,2.0685618238526726
4.0,81,2.0236497741072106
4.0,82,2.0468728984299087
4.0,83,2.017186437419451
4.0,84,2.0575192183491944
4.0,85,2.0549563649088642
4.0,86,2.0663663580310363
4.0,87,2.02960538703097
4.0,88,2.0477098780843894
4.0,89,2.0666226773285787
4.0,90,2.047346585761858
4.0,91,2.04943191608269
4.0,92,2.0680086058350238
4.0,93,2.02860034551909
4.0,94,2.0510390275954724
4.0,95,2.025588557358181
4.0,96,2.0475007768853297
4.0,97,2.075425614599001
4.0,98,2.059631308355371
4.0,99,2.021850079722907
4.0,100,2.081783386821702
4.0,101,2.0346209933483985
4.0,102,2.050128121747403
4.0,103,2.0578208842407166
4.0,104,2.042980497574696
4.0,105,2.029886966304124
4.0,106,2.07018430723581
4.0,107,2.028277128485676
4.0,108,2.0611935802832364
4.0,109,2.0664357778013116
4.0,110,2.044437631462019
4.0,111,2.0545750686042754
4.0,112,2.0106635926408702
4.0,113,2.0846188399664447
4.0,114,2.0120604340597352
4.0,115,2.0663135796006453
4.0,116,2.051644791685183
4.0,117,2.0658093476209594
4.0,118,2.0388738888164126
4.0,119,2.050249804062809
4.0,120,2.0364719592098224
4.0,121,2.0483082313385412
4.0,122,2.003627712173628
4.0,123,2.0643605535682044
4.0,124,2.0799950333743924
4.0,125,2.049238998288113
4.0,126,2.0473278924774183
4.0,127,2.0380536945277075
4.0,128,2.063616217441536
4.0,129,2.037373263762552
4.0,130,2.0540325840682656
4.0,131,2.0174232044608615
4.0,132,2.073688862216038
4.0,133,2.0178361436354724
4.0,134,2.0940813221062164
4.0,135,2.0229798347173102
4.0,136,2.061488769871024
4.0,137,2.0480557426292947
4.0,138,2.065423254483368
4.0,139,2.0377743108512814
4.0,140,2.0557595092574386
4.0,141,2.0533364780974828
4.0,142,2.0464624484921305
4.0,143,2.0663864604282756
4.0,144,2.042045688263903
4.0,145,2.059055409004819
4.0,146,2.069267568935856
4.0,147,2.0512572242454254
4.0,148,2.064161679243232
4.0,149,2.039081234327046
4.0,150,2.059086772828396
4.0,151,2.052570607981972
4.0,152,2.017347868038241
4.0,153,2.1036271665219672
4.0,154,2.057004606590312
4.0,155,2.0153165552051044
4.0,156,2.0772748134170107
4.0,157,2.0393214018426904
4.0,158,2.0412489627978556
4.0,159,2.067191966756247
4.0,160,2.030112518352789
4.0,161,2.0411132495654383
4.0,162,2.0638808313550285
4.0,163,2.0283882458665587
4.0,164,2.0551891768629362
4.0,165,2.0353650946711874
4.0,166,2.059268082867765
4.0,167,2.053554838245287
4.0,168,2.033707266867688
4.0,169,2.0333951748034265
4.0,170,2.0457520317026745
4.0,171,2.019756701868587
4.0,172,2.0622462592388557
4.0,173,2.049659324012808
4.0,174,2.037625992632849
4.0,175,2.0867300266109017
4.0,176,2.042531333562955
4.0,177,2.0622607624152853
4.0,178,2.053461741092365
4.0,179,2.039852136084081
4.0,180,2.045203539715135
4.0,181,2.061887107283979
4.0,182,2.0430590024567423
4.0,183,2.0390878613790955
4.0,184,2.0672230613324882
4.0,185,2.0182282564938885
4.0,186,2.021395030219909
4.0,187,2.059220210417935
4.0,188,2.0360828061900897
4.0,189,2.090079285675948
4.0,190,2.033297941517036
4.0,191,2.059128473197547
4.0,192,2.018623138137597
4.0,193,2.0526688295434443
4.0,194,2.0575921248848172
4.0,195,2.032302366316129
4.0,196,2.0664453209332914
4.0,197,2.037268564785499
4.0,198,2.0656385843433225
4.0,199,2.053274671328541
4.0,200,2.0767873870033124
7.7,1,2.1943478879582914
7.7,2,1.958773531602666
7.7,3,2.183049750862147
7.7,4,2.002812938282621
7.7,5,2.1571515053540566
7.7,6,1.9982270320883009
7.7,7,2.1304236329464956
7.7,8,2.0260212656564263
7.7,9,2.108532398589303
7.7,10,2.0584146573918076
7.7,11,2.096725363144015
7.7,12,2.0397359443295913
7.7,13,2.095639546238308
7.7,14,2.062286086208372
7.7,15,2.1174542828265435
7.7,16,2.0463941845909854
7.7,17,2.111530089685166
7.7,18,2.036134218829345
7.7,19,2.1078853464566607
7.7,20,2.0476174544852728
7.7,21,2.1145401006904243
7.7,22,2.0602977865813408
7.7,23,2.091216604435334
7.7,24,2.0685545858937013
7.7,25,2.1065620867303245
7.7,26,2.049307636329553
7.7,27,2.1148710535208233
7.7,28,2.060227449906063
7.7,29,2.1115141880612054
7.7,30,2.0361241359496454
7.7,31,2.094467944799235
7.7,32,2.067354179323198
7.7,33,2.1072850622861896
7.7,34,2.064098651817734
7.7,35,2.0903581946519636
7.7,36,2.0465223200174893
7.7,37,2.1098696546056144
7.7,38,2.0410058024274753
7.7,39,2.1185327881874607
7.7,40,2.0614552809468174
7.7,41,2.0415022871630697
7.7,42,2.1054610160413967
7.7,43,2.0557337785159104
7.7,44,2.0862158138178146
7.7,45,2.074380339193337
7.7,46,2.0856303054701835
7.7,47,2.0524829077588573
7.7,48,2.0621268018928256
7.7,49,2.0809582886715465
7.7,50,2.076284551382283
7.7,51,2.0586575195626
7.7,52,2.114838742623682
7.7,53,2.0295959590108863
7.7,54,2.099072389582776
7.7,55,2.0618262059382197
7.7,56,2.084184410001099
7.7,57,2.091004670998563
7.7,58,2.0542862404063675
7.7,59,2.1025652495879354
7.7,60,2.092088716258249
7.7,61,2.064830029796847
7.7,62,2.068234882684448
7.7,63,2.0883072877425723
7.7,64,2.0635523802965188
7.7,65,2.123775159487723
7.7,66,2.035187045768884
7.7,67,2.1272104859127947
7.7,68,2.039966571524705
7.7,69,2.109765278091171
7.7,70,2.0640646386741297
7.7,71,2.114142982357961
7.7,72,2.051346411177692
7.7,73,2.1150835078268564
7.7,74,2.061764376501035
7.7,75,2.056352162896329
7.7,76,2.0717930348492977
7.7,77,2.089552697586686
7.7,78,2.0738696825836374
7.7,79,2.0794147663154794
7.7,80,2.0986139626404814
7.7,81,2.0428821242543553
7.7,82,2.1048221735304695
7.7,83,2.026190671326173
7.7,84,2.1257748224196336
7.7,85,2.0463084243617304
7.7,86,2.1303920270478103
7.7,87,2.02449090890106
7.7,88,2.1212339455742435
7.7,89,2.06273626472547
7.7,90,2.0982645438962653
7.7,91,2.0624655583864824
7.7,92,2.1176566403333794
7.7,93,2.034502815748629
7.7,94,2.114335971323471
7.7,95,2.030007260447035
7.7,96,2.1189229913046828
7.7,97,2.0730223266558205
7.7,98,2.1049511592794277
7.7,99,2.034400979086153
7.7,100,2.1441947025301142
7.7,101,2.023811636150412
7.7,102,2.1286439480598056
7.7,103,2.0474478794161732
7.7,104,2.1035949381785146
7.7,105,2.0394210953931915
7.7,106,2.1353993393709274
7.7,107,2.0237851313345296
7.7,108,2.136773633194847
7.7,109,2.0507620315292137
7.7,110,2.105957413300519
7.7,111,2.0569600251980993
7.7,112,2.0604463066331453
7.7,113,2.122051233681832
7.7,114,2.0210710036629425
7.7,115,2.140706378510588
7.7,116,2.0403248687961355
7.7,117,2.135708432225971
7.7,118,2.026618703504415
7.7,119,2.127129881137224
7.7,120,2.029210961574209
7.7,121,2.11988894221957
7.7,122,2.0018995067775114
7.7,123,2.1523731601543763
7.7,124,2.0553865137299434
7.7,125,2.112021628750998
7.7,126,2.051909968665963
7.7,127,2.0993053749537136
7.7,128,2.077974743503444
7.7,129,2.076266263304125
7.7,130,2.0820891460758055
7.7,131,2.046185882490776
7.7,132,2.124242595322179
7.7,133,2.0215854109153333
7.7,134,2.1672706702114386
7.7,135,1.9948796902029442
7.7,136,2.1634602429199004
7.7,137,2.0166559421475885
7.7,138,2.157108857384087
7.7,139,2.008822320391593
7.7,140,2.146199874889676
7.7,141,2.0283162232771366
7.7,142,2.126046321103855
7.7,143,2.0551151288629455
7.7,144,2.1028491422225573
7.7,145,2.0674211738339405
7.7,146,2.1138270852863292
7.7,147,2.057425268324878
7.7,148,2.117841903722192
7.7,149,2.0468395297194735
7.7,150,2.1154992241221344
7.7,151,2.057887420626167
7.7,152,2.070032618081639
7.7,153,2.12680764308697
7.7,154,2.0631164763161842
7.7,155,2.0603207014211877
7.7,156,2.116144714415785
7.7,157,2.0505104439818855
7.7,158,2.096443539213625
7.7,159,2.082401082868046
7.7,160,2.06629649783906
7.7,161,2.0756384516129556
7.7,162,2.0960387577738313
7.7,163,2.05283050607904
7.7,164,2.106743141834156
7.7,165,2.0512380203289364
7.7,166,2.110422014907045
7.7,167,2.0617863029736516
7.7,168,2.083847234206942
7.7,169,2.0581769535299292
7.7,170,2.0965575222911035
7.7,171,2.0389412816555086
7.7,172,2.121011648943713
7.7,173,2.050427068983893
7.7,174,2.092670152900873
7.7,175,2.101339675127938
7.7,176,2.0667143569068527
7.7,177,2.1032208062608673
7.7,178,2.072202563256669
7.7,179,2.0763536369666764
7.7,180,2.0761993704399173
7.7,181,2.0980536403221857
