x_mm,V_t2ms,V_t5ms,V_t10ms,V_t20ms,V_t50ms,V_t100ms,V_t200ms,V_t280ms
0.00,67.7270,42.1101,16.0202,7.1666,9.9578,5.8545,-25.7102,-95.6778
0.50,67.5353,40.6904,15.3650,7.1550,9.9063,5.8684,-25.6109,-95.6773
1.00,66.2052,37.2249,14.2938,7.1443,9.8065,5.8978,-25.4147,-95.6763
1.50,58.7191,31.4258,13.2180,7.1351,9.6646,5.9450,-25.1269,-95.6749
2.00,27.5013,24.6317,12.4074,7.0713,9.4910,6.0126,-24.7551,-95.6733
2.50,-41.1277,18.1697,11.2831,6.7923,9.2994,6.1011,-24.3103,-95.6719
3.00,-85.4296,5.9621,10.0763,6.3232,9.0848,6.2033,-23.8059,-95.6712
3.50,-94.1132,-10.4816,9.4094,5.7815,8.8419,6.3144,-23.2530,-95.6707
4.00,-95.5147,-82.4425,9.2159,5.3017,8.5706,6.4307,-22.6613,-95.6697
4.50,-95.6930,-93.0264,10.7928,4.9929,8.2758,6.5494,-22.0392,-95.6683
5.00,-95.7108,-95.2244,27.9436,4.9232,7.9651,6.6686,-21.3947,-95.6663
5.50,-95.7111,-95.6327,-61.7640,5.1199,7.6472,6.7868,-20.7346,-95.6637
6.00,-95.7095,-95.7011,-89.4314,5.5755,7.3297,6.9034,-20.0648,-95.6604
6.50,-95.7075,-95.7106,-94.5979,6.2912,7.0187,7.0179,-19.3904,-95.6566
7.00,-95.7054,-95.7102,-95.5112,7.3380,6.7186,7.1301,-18.7155,-95.6521
7.50,-95.7031,-95.7083,-95.6779,8.2650,6.4310,7.2401,-18.0438,-95.6468
8.00,-95.7007,-95.7060,-95.7073,8.1905,6.1554,7.3477,-17.3780,-95.6405
8.50,-95.6982,-95.7035,-95.7108,39.3262,5.8907,7.4530,-16.7202,-95.6331
9.00,-95.6956,-95.7010,-95.7095,-68.3895,5.6366,7.5558,-16.0722,-95.6243
9.50,-95.6929,-95.6985,-95.7072,-91.1421,5.3920,7.6557,-15.4351,-95.6136
10.00,-95.6900,-95.6958,-95.7047,-94.8767,5.1562,7.7522,-14.8099,-95.6004
10.50,-95.6871,-95.6930,-95.7021,-95.5579,4.9303,7.8446,-14.1970,-95.5840
11.00,-95.6841,-95.6902,-95.6995,-95.6861,4.7177,7.9324,-13.5969,-95.5634
11.50,-95.6810,-95.6872,-95.6968,-95.7084,4.5223,8.0146,-13.0098,-95.5373
12.00,-95.6777,-95.6842,-95.6940,-95.7105,4.3484,8.0905,-12.4356,-95.5039
12.50,-95.6742,-95.6810,-95.6912,-95.7089,4.2026,8.1590,-11.8742,-95.4609
13.00,-95.6705,-95.6777,-95.6882,-95.7065,4.0958,8.2195,-11.3255,-95.4052
13.50,-95.6665,-95.6742,-95.6852,-95.7039,4.0384,8.2712,-10.7893,-95.3328
14.00,-95.6621,-95.6705,-95.6821,-95.7013,4.0424,8.3133,-10.2654,-95.2382
14.50,-95.6573,-95.6665,-95.6788,-95.6985,4.1268,8.3451,-9.7533,-95.1144
15.00,-95.6520,-95.6622,-95.6754,-95.6958,4.3207,8.3661,-9.2528,-94.9522
15.50,-95.6458,-95.6575,-95.6718,-95.6930,4.6517,8.3758,-8.7636,-94.7396
16.00,-95.6386,-95.6521,-95.6680,-95.6901,5.1393,8.3737,-8.2854,-94.4607
16.50,-95.6301,-95.6460,-95.6638,-95.6871,5.8072,8.3592,-7.8177,-94.0954
17.00,-95.6199,-95.6389,-95.6593,-95.6841,6.6735,8.3321,-7.3604,-93.6180
17.50,-95.6074,-95.6306,-95.6542,-95.6810,7.8347,8.2922,-6.9130,-92.9963
18.00,-95.5919,-95.6204,-95.6484,-95.6777,10.7229,8.2391,-6.4752,-92.1908
18.50,-95.5722,-95.6081,-95.6418,-95.6742,10.2218,8.1725,-6.0467,-91.1548
19.00,-95.5473,-95.5927,-95.6340,-95.6706,-51.7656,8.0925,-5.6271,-89.8354
19.50,-95.5154,-95.5734,-95.6248,-95.6668,-85.3233,7.9989,-5.2162,-88.1770
20.00,-95.4740,-95.5489,-95.6134,-95.6625,-93.6595,7.8916,-4.8136,-86.1282
20.50,-95.4202,-95.5173,-95.5995,-95.6579,-95.3334,7.7705,-4.4191,-83.6528
21.00,-95.3499,-95.4766,-95.5820,-95.6528,-95.6444,7.6360,-4.0323,-80.7432
21.50,-95.2579,-95.4236,-95.5599,-95.6470,-95.7004,7.4883,-3.6529,-77.4333
22.00,-95.1369,-95.3544,-95.5316,-95.6402,-95.7088,7.3276,-3.2808,-73.8035
22.50,-94.9778,-95.2637,-95.4951,-95.6322,-95.7084,7.1541,-2.9156,-69.9708
23.00,-94.7686,-95.1446,-95.4477,-95.6227,-95.7062,6.9689,-2.5570,-66.0669
23.50,-94.4935,-94.9879,-95.3860,-95.6111,-95.7038,6.7728,-2.2050,-62.2117
24.00,-94.1322,-94.7818,-95.3052,-95.5967,-95.7012,6.5665,-1.8592,-58.4961
24.50,-93.6588,-94.5107,-95.1991,-95.5786,-95.6985,6.3509,-1.5195,-54.9771
25.00,-93.0413,-94.1547,-95.0597,-95.5557,-95.6958,6.1283,-1.1857,-51.6828
25.50,-92.2397,-93.6883,-94.8762,-95.5263,-95.6931,5.9002,-0.8575,-48.6216
26.00,-91.2070,-93.0795,-94.6348,-95.4884,-95.6903,5.6685,-0.5350,-45.7895
26.50,-89.8898,-92.2889,-94.3175,-95.4391,-95.6874,5.4351,-0.2178,-43.1757
27.00,-88.2324,-91.2701,-93.9014,-95.3748,-95.6845,5.2041,0.0940,-40.7658
27.50,-86.1827,-89.9698,-93.3573,-95.2906,-95.6815,4.9790,0.4006,-38.5441
28.00,-83.7039,-88.3320,-92.6489,-95.1799,-95.6783,4.7632,0.7022,-36.4942
28.50,-80.7885,-86.3044,-91.7327,-95.0344,-95.6750,4.5608,0.9987,-34.6001
29.00,-77.4707,-83.8491,-90.5580,-94.8428,-95.6715,4.3795,1.2902,-32.8465
29.50,-73.8313,-80.9563,-89.0693,-94.5908,-95.6679,4.2265,1.5769,-31.2189
30.00,-69.9884,-77.6575,-87.2113,-94.2593,-95.6639,4.1096,1.8586,-29.7045
30.50,-66.0746,-74.0311,-84.9381,-93.8243,-95.6595,4.0392,2.1355,-28.2913
31.00,-62.2104,-70.1936,-82.2260,-93.2555,-95.6547,4.0321,2.4076,-26.9687
31.50,-58.4865,-66.2773,-79.0872,-92.5148,-95.6493,4.1038,2.6748,-25.7272
32.00,-54.9596,-62.4039,-75.5801,-91.5568,-95.6430,4.2696,2.9371,-24.5587
32.50,-51.6571,-58.6658,-71.8069,-90.3286,-95.6356,4.5531,3.1946,-23.4555
33.00,-48.5866,-55.1214,-67.8966,-88.7728,-95.6268,5.0006,3.4470,-22.4112
33.50,-45.7435,-51.7997,-63.9782,-86.8332,-95.6161,5.6623,3.6945,-21.4200
34.00,-43.1164,-48.7090,-60.1581,-84.4640,-95.6027,6.5620,3.9369,-20.4767
34.50,-40.6906,-45.8450,-56.5093,-81.6446,-95.5859,7.8237,4.1741,-19.5766
35.00,-38.4497,-43.1969,-53.0722,-78.3931,-95.5645,9.7796,4.4061,-18.7155
35.50,-36.3771,-40.7500,-49.8630,-74.7763,-95.5369,3.7889,4.6329,-17.8898
36.00,-34.4566,-38.4883,-46.8824,-70.9044,-95.5010,-32.5410,4.8544,-17.0960
36.50,-32.6725,-36.3952,-44.1221,-66.9119,-95.4540,-82.8049,5.0706,-16.3311
37.00,-31.0107,-34.4548,-41.5690,-62.9293,-95.3921,-92.9984,5.2816,-15.5922
37.50,-29.4579,-32.6516,-39.2083,-59.0612,-95.3103,-95.1907,5.4875,-14.8769
38.00,-28.0026,-30.9717,-37.0241,-55.3769,-95.2019,-95.6172,5.6885,-14.1828
38.50,-26.6344,-29.4021,-35.0007,-51.9143,-95.0580,-95.6953,5.8851,-13.5081
39.00,-25.3445,-27.9316,-33.1231,-48.6883,-94.8672,-95.7079,6.0777,-12.8509
39.50,-24.1251,-26.5503,-31.3776,-45.6995,-94.6145,-95.7083,6.2673,-12.2098
40.00,-22.9699,-25.2498,-29.7516,-42.9407,-94.2805,-95.7064,6.4548,-11.5835
40.50,-21.8736,-24.0229,-28.2342,-40.4002,-93.8410,-95.7039,6.6414,-10.9713
41.00,-20.8318,-22.8639,-26.8159,-38.0648,-93.2662,-95.7013,6.8287,-10.3725
41.50,-19.8413,-21.7681,-25.4888,-35.9205,-92.5205,-95.6987,7.0185,-9.7870
42.00,-18.8997,-20.7319,-24.2465,-33.9534,-91.5633,-95.6960,7.2124,-9.2150
42.50,-18.0054,-19.7528,-23.0838,-32.1506,-90.3520,-95.6932,7.4123,-8.6570
43.00,-17.1575,-18.8289,-21.9968,-30.5003,-88.8463,-95.6904,7.6197,-8.1142
43.50,-16.3560,-17.9596,-20.9827,-28.9921,-87.0167,-95.6875,7.8360,-7.5879
44.00,-15.6013,-17.1445,-20.0397,-27.6173,-84.8548,-95.6844,8.0616,-7.0800
