t_ms,ecg_mV
0.000,-0.006023
0.050,-0.005876
0.100,-0.005730
0.150,-0.005585
0.200,-0.005440
0.250,-0.005296
0.300,-0.005153
0.350,-0.005009
0.400,-0.004866
0.450,-0.004722
0.500,-0.004576
0.550,-0.004420
0.600,-0.004224
0.650,-0.003862
0.700,-0.002878
0.750,-0.002006
0.800,-0.001656
0.850,-0.001450
0.900,-0.001290
0.950,-0.001146
1.000,-0.001104
1.050,-0.001060
1.100,-0.001017
1.150,-0.000973
1.200,-0.000931
1.250,-0.000888
1.300,-0.000847
1.350,-0.000806
1.400,-0.000766
1.450,-0.000726
1.500,-0.000687
1.550,-0.000648
1.600,-0.000611
1.650,-0.000573
1.700,-0.000536
1.750,-0.000500
1.800,-0.000464
1.850,-0.000429
1.900,-0.000394
1.950,-0.000359
2.000,-0.000324
2.050,-0.000287
2.100,-0.000241
2.150,-0.000195
2.200,-0.000158
2.250,-0.000124
2.300,-0.000092
2.350,-0.000060
2.400,-0.000029
2.450,0.000001
2.500,0.000030
2.550,0.000059
2.600,0.000088
2.650,0.000116
2.700,0.000144
2.750,0.000172
2.800,0.000199
2.850,0.000226
2.900,0.000252
2.950,0.000279
3.000,0.000304
3.050,0.000330
3.100,0.000355
3.150,0.000380
3.200,0.000405
3.250,0.000429
3.300,0.000454
3.350,0.000478
3.400,0.000502
3.450,0.000527
3.500,0.000553
3.550,0.000588
3.600,0.000625
3.650,0.000653
3.700,0.000677
3.750,0.000700
3.800,0.000722
3.850,0.000743
3.900,0.000764
3.950,0.000784
4.000,0.000804
4.050,0.000824
4.100,0.000844
4.150,0.000863
4.200,0.000882
4.250,0.000901
4.300,0.000919
4.350,0.000937
4.400,0.000955
4.450,0.000973
4.500,0.000991
4.550,0.001008
4.600,0.001026
4.650,0.001043
4.700,0.001060
4.750,0.001076
4.800,0.001093
4.850,0.001110
4.900,0.001127
4.950,0.001146
5.000,0.001172
5.050,0.001204
5.100,0.001226
5.150,0.001244
5.200,0.001261
5.250,0.001276
5.300,0.001291
5.350,0.001306
5.400,0.001320
5.450,0.001334
5.500,0.001347
5.550,0.001361
5.600,0.001374
5.650,0.001387
5.700,0.001400
5.750,0.001412
5.800,0.001425
5.850,0.001437
5.900,0.001450
5.950,0.001462
6.000,0.001474
6.050,0.001485
6.100,0.001497
6.150,0.001509
6.200,0.001520
6.250,0.001532
6.300,0.001544
6.350,0.001556
6.400,0.001570
6.450,0.001589
6.500,0.001617
6.550,0.001637
6.600,0.001650
6.650,0.001662
6.700,0.001673
6.750,0.001684
6.800,0.001694
6.850,0.001704
6.900,0.001713
6.950,0.001723
7.000,0.001732
7.050,0.001741
7.100,0.001750
7.150,0.001759
7.200,0.001768
7.250,0.001776
7.300,0.001785
7.350,0.001793
7.400,0.001802
7.450,0.001810
7.500,0.001818
7.550,0.001826
7.600,0.001834
7.650,0.001842
7.700,0.001850
7.750,0.001859
7.800,0.001868
7.850,0.001878
7.900,0.001893
7.950,0.001919
8.000,0.001936
8.050,0.001947
8.100,0.001956
8.150,0.001964
8.200,0.001972
8.250,0.001979
8.300,0.001986
8.350,0.001993
8.400,0.001999
8.450,0.002006
8.500,0.002012
8.550,0.002018
8.600,0.002024
8.650,0.002031
8.700,0.002037
8.750,0.002043
8.800,0.002049
8.850,0.002054
8.900,0.002060
8.950,0.002066
9.000,0.002072
9.050,0.002078
9.100,0.002083
9.150,0.002089
9.200,0.002095
9.250,0.002102
9.300,0.002110
9.350,0.002122
9.400,0.002145
9.450,0.002162
9.500,0.002172
9.550,0.002179
9.600,0.002185
9.650,0.002191
9.700,0.002196
9.750,0.002201
9.800,0.002206
9.850,0.002211
9.900,0.002216
9.950,0.002220
10.000,0.002225
10.050,0.002229
10.100,0.002234
10.150,0.002238
10.200,0.002242
10.250,0.002247
10.300,0.002251
10.350,0.002255
10.400,0.002259
10.450,0.002264
10.500,0.002268
10.550,0.002272
10.600,0.002277
10.650,0.002281
10.700,0.002286
10.750,0.002292
10.800,0.002301
10.850,0.002321
10.900,0.002340
10.950,0.002349
11.000,0.002356
11.050,0.002361
11.100,0.002365
11.150,0.002370
11.200,0.002373
11.250,0.002377
11.300,0.002381
11.350,0.002384
11.400,0.002388
11.450,0.002391
11.500,0.002394
11.550,0.002397
11.600,0.002401
11.650,0.002404
11.700,0.002407
11.750,0.002410
11.800,0.002413
11.850,0.002416
11.900,0.002420
11.950,0.002423
12.000,0.002426
12.050,0.002429
12.100,0.002433
12.150,0.002436
12.200,0.002441
12.250,0.002447
12.300,0.002461
12.350,0.002483
12.400,0.002495
12.450,0.002502
12.500,0.002506
12.550,0.002510
12.600,0.002513
12.650,0.002516
12.700,0.002519
12.750,0.002522
12.800,0.002525
12.850,0.002527
12.900,0.002530
12.950,0.002532
13.000,0.002535
13.050,0.002537
13.100,0.002539
13.150,0.002542
13.200,0.002544
13.250,0.002547
13.300,0.002549
13.350,0.002551
13.400,0.002554
13.450,0.002556
13.500,0.002559
13.550,0.002561
13.600,0.002564
13.650,0.002568
13.700,0.002573
13.750,0.002584
13.800,0.002606
13.850,0.002620
13.900,0.002626
13.950,0.002630
14.000,0.002634
14.050,0.002637
14.100,0.002639
14.150,0.002641
14.200,0.002643
14.250,0.002645
14.300,0.002647
14.350,0.002649
14.400,0.002651
14.450,0.002653
14.500,0.002655
14.550,0.002656
14.600,0.002658
14.650,0.002660
14.700,0.002662
14.750,0.002663
14.800,0.002665
14.850,0.002667
14.900,0.002669
14.950,0.002671
15.000,0.002673
15.050,0.002676
15.100,0.002678
15.150,0.002683
15.200,0.002692
15.250,0.002713
15.300,0.002729
15.350,0.002735
15.400,0.002739
15.450,0.002742
15.500,0.002745
15.550,0.002747
